t_s,left_rpm,right_rpm,center_speed_mps,encoder_speed_fit_mps,imu_accel_mps2,encoder_accel_raw_mps2,imu_accel_fit_mps2,imu_accel_calibrated_fit_mps2,encoder_accel_fit_mps2,fitted_accel_mps2
1.63,59,59,0.20080013,0.19583918,0.108,0.01701696,-0.077667488,-0.020735217,-0.021333201,-0.021034209
1.64,59,59,0.20080013,0.19520178,-0.321,0,-0.070622048,-0.014888002,-0.022287983,-0.018587993
1.65,59,59,0.20080013,0.1946023,0.049,-0.32332224,-0.062397377,-0.0080621112,-0.022717642,-0.015389876
1.66,59,59,0.20080013,0.19409579,0.249,-0.47647489,-0.053215061,-0.00044144282,-0.022410085,-0.011425764
1.67,54,54,0.18378317,0.19371528,-0.057,-0.32332224,-0.043172189,0.0078934262,-0.021267013,-0.0066867935
1.68,54,50,0.17697639,0.19342573,0.044,-0.1701696,-0.032276215,0.016936309,-0.019556938,-0.0013103144
1.69,54,50,0.17697639,0.19316247,-0.143,0.22122048,-0.020822386,0.026442172,-0.017340221,0.0045509756
1.7,54,59,0.19229165,0.19293475,-0.197,0.37437312,-0.0095706159,0.03578034,-0.014175387,0.010802476
1.71,54,59,0.19229165,0.192803,0.343,0.22122048,0.00063930574,0.044253848,-0.0097815015,0.017236173
1.72,63,63,0.2144137,0.19280845,-0.001,0.23823744,0.0093075943,0.051447911,-0.0042625951,0.023592658
